ID	Sex	length	width	height
T25	F	98	81	38
T26	F	103	84	38
T27	F	103	86	42
T28	F	105	86	40
T29	F	109	88	44
T30	F	123	92	50
T31	F	123	95	46
T32	F	133	99	51
T33	F	133	102	51
T34	F	133	102	51
T35	F	134	100	48
T36	F	136	102	49
T37	F	137	98	51
T38	F	138	99	51
T39	F	141	105	53
T40	F	147	108	57
T41	F	149	107	55
T42	F	153	107	56
T43	F	155	115	63
T44	F	155	117	60
T45	F	158	115	62
T46	F	159	118	63
T47	F	162	124	61
T48	F	177	132	67
T1	M	93	74	37
T2	M	94	78	35
T3	M	96	80	35
T4	M	101	84	39
T5	M	102	85	38
T6	M	103	81	37
T7	M	104	83	39
T8	M	106	83	39
T9	M	107	82	38
T10	M	112	89	40
T11	M	113	88	40
T12	M	114	86	40
T13	M	116	90	43
T14	M	117	90	41
T15	M	117	91	41
T16	M	119	93	41
T17	M	120	89	40
T18	M	120	93	44
T19	M	121	95	42
T20	M	125	93	45
T21	M	127	96	45
T22	M	128	95	45
T23	M	131	95	46
T24	M	135	106	47
